"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","343","Verify prices can be sorted from high to low","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:43 UTC 2026","passed","Thu Apr 30 20:25:43 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testPriceSortingHighToLow"
"","233","Verify cart page displays correct label","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:52 UTC 2026","passed","Thu Apr 30 20:25:52 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testCartPageLabel"
"","743","Verify Add to Cart button changes to Remove after clicking","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:16 UTC 2026","passed","Thu Apr 30 20:25:17 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testAddToCartButtonUpdate"
"","335","Verify prices can be sorted from low to high","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:56 UTC 2026","passed","Thu Apr 30 20:25:56 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","204","Verify Add to Cart button changes to Remove after clicking","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:49 UTC 2026","passed","Thu Apr 30 20:25:49 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testAddToCartButtonUpdate"
"","713","Verify prices can be sorted from high to low","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:30 UTC 2026","passed","Thu Apr 30 20:25:30 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testPriceSortingHighToLow"
"This test verifies that a user can successfully log in with valid credentials","846","Verify successful login with valid credentials","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:48 UTC 2026","passed","Thu Apr 30 20:25:49 UTC 2026","tests.HomePageTests","Edge Tests","tests.HomePageTests","testSuccessfulLogin"
"","1168","Verify user can logout successfully","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:45 UTC 2026","passed","Thu Apr 30 20:25:46 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testUserLogout"
"","253","Verify cart page displays correct label","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:23 UTC 2026","passed","Thu Apr 30 20:25:23 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testCartPageLabel"
"","219","Verify cart badge displays correct color and count after adding product","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:39 UTC 2026","passed","Thu Apr 30 20:25:39 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testCartBadgeAfterAddingProduct"
"","956","Verify prices can be sorted from low to high","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:31 UTC 2026","passed","Thu Apr 30 20:25:32 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","204","Verify cart badge displays correct color and count after adding product","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:49 UTC 2026","passed","Thu Apr 30 20:25:49 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testCartBadgeAfterAddingProduct"
"","1178","Verify complete order flow from product to confirmation","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:23 UTC 2026","passed","Thu Apr 30 20:25:24 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testCompleteOrderFlow"
"This test verifies that a user can successfully log in with valid credentials","1470","Verify successful login with valid credentials","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:14 UTC 2026","passed","Thu Apr 30 20:25:16 UTC 2026","tests.HomePageTests","Firefox Tests","tests.HomePageTests","testSuccessfulLogin"
"","262","Verify user can logout successfully","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:35 UTC 2026","passed","Thu Apr 30 20:25:36 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testUserLogout"
"","189","Verify cart page displays correct label","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:41 UTC 2026","passed","Thu Apr 30 20:25:41 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testCartPageLabel"
"","226","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:56 UTC 2026","passed","Thu Apr 30 20:25:56 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testProductPageTitle"
"","810","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:41 UTC 2026","passed","Thu Apr 30 20:25:42 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testMultipleProductsAddition"
"This test verifies that a user can successfully log in with valid credentials","985","Verify successful login with valid credentials","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:38 UTC 2026","passed","Thu Apr 30 20:25:39 UTC 2026","tests.HomePageTests","Chrome Tests","tests.HomePageTests","testSuccessfulLogin"
"","262","Verify prices can be sorted from low to high","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:44 UTC 2026","passed","Thu Apr 30 20:25:44 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","898","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:52 UTC 2026","passed","Thu Apr 30 20:25:53 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testMultipleProductsAddition"
"","173","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:44 UTC 2026","passed","Thu Apr 30 20:25:44 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testProductPageTitle"
"","1195","Verify user can logout successfully","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:57 UTC 2026","passed","Thu Apr 30 20:25:58 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testUserLogout"
"","1102","Verify complete order flow from product to confirmation","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:41 UTC 2026","passed","Thu Apr 30 20:25:42 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testCompleteOrderFlow"
"","1234","Verify complete order flow from product to confirmation","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:52 UTC 2026","passed","Thu Apr 30 20:25:53 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testCompleteOrderFlow"
"","708","Verify cart badge displays correct color and count after adding product","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:16 UTC 2026","passed","Thu Apr 30 20:25:17 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testCartBadgeAfterAddingProduct"
"","230","Verify Add to Cart button changes to Remove after clicking","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:39 UTC 2026","passed","Thu Apr 30 20:25:39 UTC 2026","tests.ProductsPageTests","Chrome Tests","tests.ProductsPageTests","testAddToCartButtonUpdate"
"","520","Verify product page shows correct title when clicked","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:32 UTC 2026","passed","Thu Apr 30 20:25:32 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testProductPageTitle"
"","288","Verify prices can be sorted from high to low","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:55 UTC 2026","passed","Thu Apr 30 20:25:55 UTC 2026","tests.ProductsPageTests","Edge Tests","tests.ProductsPageTests","testPriceSortingHighToLow"
"","1692","Verify multiple products can be added and verified in cart","SauceDemo Cross-Browser Suite","Thu Apr 30 20:25:23 UTC 2026","passed","Thu Apr 30 20:25:25 UTC 2026","tests.ProductsPageTests","Firefox Tests","tests.ProductsPageTests","testMultipleProductsAddition"
