"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","Verify prices can be sorted from low to high","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","1","setUp","Default Suite","2025-11-04","broken","2025-11-04","tests.HomePageTests","SauceDemoApp","tests.HomePageTests","setUp"
"This test verifies that a user can successfully log in with valid credentials","1","Verify successful login with valid credentials","Default Suite","2025-11-04","skipped","2025-11-04","tests.HomePageTests","SauceDemoApp","tests.HomePageTests","testSuccessfulLogin"
"","224","Verify prices can be sorted from low to high","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testPriceSortingLowToHigh"
"","2","setUp","Default Suite","2025-11-04","broken","2025-11-04","tests.ProductsPageTests","SauceDemoApp","tests.ProductsPageTests","setUp"
"","0","testMultipleProductsAddition","SauceDemo Parallel Suite","2025-11-04","unknown","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testMultipleProductsAddition"
"","688","Verify product page shows correct title when clicked","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testProductPageTitle"
"","234","Verify prices can be sorted from high to low","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testPriceSortingHighToLow"
"","2695","Verify complete order flow from product to confirmation","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCompleteOrderFlow"
"","1376","Verify cart page displays correct label","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCartPageLabel"
"","1","Verify multiple products can be added and verified in cart","Default Suite","2025-11-04","skipped","2025-11-04","tests.ProductsPageTests","SauceDemoApp","tests.ProductsPageTests","testMultipleProductsAddition"
"","119","Verify Add to Cart button changes to Remove after clicking","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testAddToCartButtonUpdate"
"","4275","Verify multiple products can be added and verified in cart","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testMultipleProductsAddition"
"This test verifies that a user can successfully log in with valid credentials","1","testSuccessfulLogin","SauceDemo Parallel Suite","2025-11-04","unknown","2025-11-04","tests.HomePageTests","SauceDemo Tests - Run 1","tests.HomePageTests","testSuccessfulLogin"
"","1228","Verify user can logout successfully","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testUserLogout"
"","587","Verify user can logout successfully","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testUserLogout"
"","0","testCartBadgeAfterAddingProduct","SauceDemo Parallel Suite","2025-11-04","unknown","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCartBadgeAfterAddingProduct"
"","133","Verify cart badge displays correct color and count after adding product","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCartBadgeAfterAddingProduct"
"","123","Verify product page shows correct title when clicked","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testProductPageTitle"
"","0","testCartPageLabel","SauceDemo Parallel Suite","2025-11-04","unknown","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCartPageLabel"
"","151","Verify prices can be sorted from high to low","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testPriceSortingHighToLow"
"","683","Verify complete order flow from product to confirmation","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testCompleteOrderFlow"
"","222","Verify Add to Cart button changes to Remove after clicking","SauceDemo Parallel Suite","2025-11-04","passed","2025-11-04","tests.ProductsPageTests","SauceDemo Tests - Run 1","tests.ProductsPageTests","testAddToCartButtonUpdate"
"This test verifies that a user can successfully log in with valid credentials","5708","Verify successful login with valid credentials","SauceDemo Parallel Suite","2025-10-04","passed","2025-10-04","tests.HomePageTests","SauceDemo Tests - Run 1","tests.HomePageTests","testSuccessfulLogin"
